ID,lat,lon,eht,inDatum,outDatum,spcZone,utmZone
1,37.613360333,-119.021031533333,2737.456704,NAD83(2011),NAD83(2011),auto,auto
2,37.613319867,-119.02096225,2737.276664,NAD83(2011),NAD83(2011),auto,auto
3,37.6132646,-119.020950133333,2737.345904,NAD83(2011),NAD83(2011),auto,auto
4,37.61321225,-119.020994066667,2737.602288,NAD83(2011),NAD83(2011),auto,auto
5,37.613198783,-119.02106895,2737.702424,NAD83(2011),NAD83(2011),auto,auto
6,37.613238467,-119.021139883333,2737.897384,NAD83(2011),NAD83(2011),auto,auto
7,37.6132954,-119.021151716667,2738.013144,NAD83(2011),NAD83(2011),auto,auto
8,37.6133465,-119.0211086,2737.757144,NAD83(2011),NAD83(2011),auto,auto
DRONE,37.6132916667,-119.1993611111,2735.6433115,NAD83(2011),NAD83(2011),auto,auto

